error	steps
38262732777.0	440.0
38251548876.0	441.0
38238893147.0	442.0
38229182276.0	443.0
38221366095.0	444.0
38190918919.0	445.0
38159359687.0	446.0
38142416937.0	447.0
38122771600.0	448.0
38106359036.0	449.0
38089138662.0	450.0
38072640677.0	451.0
38059156807.0	452.0
38046409713.0	453.0
38024822801.0	454.0
38006392201.0	455.0
37993716357.0	456.0
37968837937.0	457.0
37966285643.0	458.0
37961419234.0	459.0
37947525213.0	460.0
37934013905.0	461.0
37924017920.0	462.0
37897898008.0	463.0
37870047330.0	464.0
37852505591.0	465.0
37832755294.0	466.0
37819298144.0	467.0
37806674019.0	468.0
37792818928.0	469.0
37781307998.0	470.0
37767329329.0	471.0
37765159396.0	472.0
37761760216.0	473.0
37751904421.0	474.0
37747701790.0	475.0
37730788760.0	476.0
37703040865.0	477.0
37699452532.0	478.0
37685149924.0	479.0
37673377707.0	480.0
37643288036.0	481.0
37639513698.0	482.0
37623318952.0	483.0
37608225248.0	484.0
37581922427.0	485.0
37568551519.0	486.0
37559136170.0	487.0
37550675027.0	488.0
37539482240.0	489.0
37534515407.0	490.0
37528683540.0	491.0
37513530428.0	492.0
37507896916.0	493.0
37491446080.0	494.0
37483121937.0	495.0
37476518309.0	496.0
37472730085.0	497.0
37463835487.0	498.0
37453078472.0	499.0
37447761444.0	500.0
37439577199.0	501.0
37433946656.0	502.0
37419557648.0	503.0
37408377062.0	504.0
37387528974.0	505.0
37380182625.0	506.0
37372810397.0	507.0
37363423189.0	508.0
37345119024.0	509.0
37336222328.0	510.0
37332471042.0	511.0
37326036048.0	512.0
37293397285.0	513.0
37270521914.0	514.0
37242455494.0	515.0
37224263041.0	516.0
37214459354.0	517.0
37197249911.0	518.0
37187870147.0	519.0
37176692769.0	520.0
37173204538.0	521.0
37157802968.0	522.0
37147569920.0	523.0
37131649531.0	524.0
37096090468.0	525.0
37076200010.0	526.0
37064539405.0	527.0
37058716267.0	528.0
37055229264.0	529.0
37048407020.0	530.0
37035655196.0	531.0
37025726400.0	532.0
37020944566.0	533.0
37013213920.0	534.0
37008231007.0	535.0
37000164918.0	536.0
36980396267.0	537.0
36961140401.0	538.0
36950917056.0	539.0
36945736040.0	540.0
36910939325.0	541.0
36904522208.0	542.0
36900287029.0	543.0
36882930793.0	544.0
36876001556.0	545.0
36866481462.0	546.0
36860047273.0	547.0
36831968070.0	548.0
36823282707.0	549.0
36803813409.0	550.0
36793099687.0	551.0
36777435316.0	552.0
36752271078.0	553.0
36727352502.0	554.0
36724480755.0	555.0
36701376178.0	556.0
36698260238.0	557.0
36693439067.0	558.0
36681965876.0	559.0
36657171354.0	560.0
36653507186.0	561.0
36651702176.0	562.0
36645410278.0	563.0
36637816454.0	564.0
36633180512.0	565.0
36624257987.0	566.0
36621495080.0	567.0
36618920598.0	568.0
36598919792.0	569.0
36596907523.0	570.0
36589668885.0	571.0
36587559361.0	572.0
36582854970.0	573.0
36560382964.0	574.0
36548926804.0	575.0
36542641189.0	576.0
36534394142.0	577.0
36524733461.0	578.0
36515914793.0	579.0
36501053878.0	580.0
36475710109.0	581.0
36469116529.0	582.0
36448258354.0	583.0
36442258568.0	584.0
36422598918.0	585.0
36418278199.0	586.0
36414004023.0	587.0
36403967532.0	588.0
36399578496.0	589.0
36377956181.0	590.0
36351307385.0	591.0
36349646627.0	592.0
36346681747.0	593.0
36324453091.0	594.0
36322123421.0	595.0
36307013740.0	596.0
36298707925.0	597.0
36281100063.0	598.0
36270018378.0	599.0
36246433255.0	600.0
36245741099.0	601.0
36224351504.0	602.0
36220797932.0	603.0
36209757769.0	604.0
36191601028.0	605.0
36188399152.0	606.0
36167528041.0	607.0
36157399983.0	608.0
36152437774.0	609.0
36151395687.0	610.0
36149520233.0	611.0
36139498770.0	612.0
36137253804.0	613.0
36121744746.0	614.0
36114081848.0	615.0
36111911055.0	616.0
36109282052.0	617.0
36101200539.0	618.0
36092233810.0	619.0
36088073261.0	620.0
36084468960.0	621.0
36079656024.0	622.0
36075883606.0	623.0
36073075285.0	624.0
36065136434.0	625.0
36058593580.0	626.0
36052554974.0	627.0
36050442395.0	628.0
36044342192.0	629.0
36032513372.0	630.0
36029995273.0	631.0
36020710672.0	632.0
36018931377.0	633.0
36013902921.0	634.0
36007649466.0	635.0
35995410474.0	636.0
35993386359.0	637.0
35983467769.0	638.0
35979128873.0	639.0
35969987917.0	640.0
35964821527.0	641.0
35961190837.0	642.0
35955989456.0	643.0
35951827986.0	644.0
35945423759.0	645.0
35933839314.0	646.0
35919612239.0	647.0
35908909043.0	648.0
35905364400.0	649.0
35902680381.0	650.0
35900263451.0	651.0
35895842770.0	652.0
35895128108.0	653.0
35885921970.0	654.0
35874360730.0	655.0
35856149966.0	656.0
35853484083.0	657.0
35849700365.0	658.0
35847196594.0	659.0
35841117710.0	660.0
35816060139.0	661.0
35811900855.0	662.0
35808594494.0	663.0
35801692890.0	664.0
35800449306.0	665.0
35796867162.0	666.0
35787563899.0	667.0
35779281919.0	668.0
35776617923.0	669.0
35770373819.0	670.0
35765967017.0	671.0
35758475840.0	672.0
35754970807.0	673.0
35750461653.0	674.0
35745149918.0	675.0
35738262549.0	676.0
35722401221.0	677.0
35707870266.0	678.0
35689894667.0	679.0
35685181225.0	680.0
35672408154.0	681.0
35667984601.0	682.0
35663645488.0	683.0
